66.249.69.185 bot - "2014-06-12 10:21:35" http://enginy.uib.es/index.php/enginy/article/download/85/79 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.201 bot - "2014-06-12 10:23:24" http://enginy.uib.es/index.php/enginy/article/view/13 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.201 bot - "2014-06-12 10:23:33" http://enginy.uib.es/index.php/enginy/article/download/20/4 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.70.109 bot - "2014-06-12 10:28:37" http://enginy.uib.es/index.php/enginy/article/view/144 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.167 bot - "2014-06-12 10:54:51" http://edicions.uib.cat/ojs/index.php/enginy/article/download/48/30 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
202.46.62.108 - - "2014-06-12 10:58:06" http://enginy.uib.es/index.php/enginy/article/view/54 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:22.0) Gecko/20100101 Firefox/22.0"
62.43.114.12 - - "2014-06-12 11:35:54" http://edicions.uib.es/ojs/index.php/insularisgeographia/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
62.43.114.12 - - "2014-06-12 11:36:20" http://edicions.uib.es/ojs/index.php/insularisgeographia/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1916.114 Safari/537.36"
69.171.230.115 - - "2014-06-12 12:14:53" http://edicions.uib.es/ojs/index.php/enginy/article/download/48/30 200 "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)"
66.249.69.169 bot - "2014-06-12 12:22:01" http://enginy.uib.es/index.php/enginy/article/download/98/116 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
