195.76.181.177 - - "2017-03-18 00:00:04" http://edicions.uib.cat/ojs/index.php/CIRUGIA/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:51.0) Gecko/20100101 Firefox/51.0"
136.243.103.153 bot - "2017-03-18 00:58:58" http://enginy.uib.es/index.php/enginy/article/download/32/16 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
66.249.66.104 bot - "2017-03-18 01:04:15" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.100 bot - "2017-03-18 01:24:25" http://enginy.uib.es/index.php/enginy/article/download/74/53 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
186.222.215.147 - - "2017-03-18 01:49:39" http://edicions.uib.cat/ojs/index.php/Materialidades/article/download/131/104 200 "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36"
66.249.66.100 bot - "2017-03-18 01:57:43" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.100 bot - "2017-03-18 02:15:15" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.100 bot - "2017-03-18 02:20:25" http://enginy.uib.es/index.php/enginy/article/download/78/57 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
136.243.103.153 bot - "2017-03-18 02:44:48" http://enginy.uib.es/index.php/enginy/article/view/25 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 02:45:02" http://enginy.uib.es/index.php/enginy/article/view/23 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 02:45:19" http://enginy.uib.es/index.php/enginy/article/view/88 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 02:45:30" http://enginy.uib.es/index.php/enginy/article/view/150 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 02:45:44" http://enginy.uib.es/index.php/enginy/article/view/44 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 02:45:59" http://enginy.uib.es/index.php/enginy/article/view/5 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 02:46:16" http://enginy.uib.es/index.php/enginy/article/view/91 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 02:46:29" http://enginy.uib.es/index.php/enginy/article/view/98 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 02:46:44" http://enginy.uib.es/index.php/enginy/article/view/2 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 02:46:58" http://enginy.uib.es/index.php/enginy/article/view/66 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 02:47:12" http://enginy.uib.es/index.php/enginy/article/view/39 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 02:47:35" http://enginy.uib.es/index.php/enginy/article/view/86 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
136.243.103.153 bot - "2017-03-18 02:47:49" http://enginy.uib.es/index.php/enginy/article/view/11 200 "Mozilla/5.0 (compatible; SEOkicks-Robot; +http://www.seokicks.de/robot.html)"
93.158.152.47 bot - "2017-03-18 02:54:22" http://edicions.uib.cat/ojs/index.php/enginy/index 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
207.46.13.118 bot - "2017-03-18 03:00:13" http://enginy.uib.es/index.php/enginy/article/view/15 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.118 bot - "2017-03-18 03:00:15" http://enginy.uib.es/index.php/enginy/article/view/2 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.118 bot - "2017-03-18 03:00:16" http://enginy.uib.es/index.php/enginy/article/view/5 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.118 bot - "2017-03-18 03:00:17" http://enginy.uib.es/index.php/enginy/article/view/9 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.118 bot - "2017-03-18 03:00:19" http://enginy.uib.es/index.php/enginy/article/view/12 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.118 bot - "2017-03-18 03:00:21" http://enginy.uib.es/index.php/enginy/issue/view/6 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.118 bot - "2017-03-18 03:00:22" http://enginy.uib.es/index.php/Eduhisedu/index 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
207.46.13.118 bot - "2017-03-18 03:00:23" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
