66.249.75.10 bot - "2015-06-02 07:44:26" http://edicions.uib.cat/ojs/index.php/crtc/article/view/191 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.26 bot - "2015-06-02 07:44:59" http://edicions.uib.cat/ojs/index.php/crtc/article/view/273 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.18 bot - "2015-06-02 07:45:14" http://edicions.uib.cat/ojs/index.php/crtc/article/view/239 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.26 bot - "2015-06-02 07:45:30" http://edicions.uib.cat/ojs/index.php/crtc/article/view/170 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.26 bot - "2015-06-02 07:46:56" http://edicions.uib.cat/ojs/index.php/crtc/article/view/257 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.10 bot - "2015-06-02 07:47:09" http://edicions.uib.cat/ojs/index.php/crtc/article/view/263 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.18 bot - "2015-06-02 07:56:10" http://edicions.uib.cat/ojs/index.php/crtc/article/view/227 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.10 bot - "2015-06-02 07:56:44" http://edicions.uib.cat/ojs/index.php/crtc/article/view/215 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.10 bot - "2015-06-02 07:57:30" http://edicions.uib.cat/ojs/index.php/crtc/article/view/214 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.10 bot - "2015-06-02 08:02:12" http://edicions.uib.cat/ojs/index.php/Materialidades/article/view/131 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.18 bot - "2015-06-02 08:05:26" http://edicions.uib.cat/ojs/index.php/crtc/article/view/190 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.10 bot - "2015-06-02 08:09:07" http://edicions.uib.cat/ojs/index.php/crtc/article/view/184 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
123.125.71.90 - - "2015-06-02 08:09:22" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2"
66.249.75.10 bot - "2015-06-02 08:10:58" http://edicions.uib.cat/ojs/index.php/crtc/article/view/195 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.10 bot - "2015-06-02 08:11:12" http://edicions.uib.cat/ojs/index.php/crtc/article/view/205 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.26 bot - "2015-06-02 08:11:59" http://edicions.uib.cat/ojs/index.php/crtc/article/view/268 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.18 bot - "2015-06-02 08:12:54" http://edicions.uib.cat/ojs/index.php/crtc/article/view/180 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.26 bot - "2015-06-02 08:13:49" http://edicions.uib.cat/ojs/index.php/crtc/article/view/204 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.75.26 bot - "2015-06-02 08:16:48" http://edicions.uib.cat/ojs/index.php/crtc/article/view/252 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.67.101 bot - "2015-06-02 08:17:47" http://enginy.uib.es/index.php/enginy/article/download/70/114 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
5.9.145.132 - - "2015-06-02 08:43:34" http://edicions.uib.cat/ojs/index.php/crtc/article/view/307 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.172 Safari/537.22"
66.249.67.114 bot - "2015-06-02 08:47:24" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
123.125.71.49 - - "2015-06-02 08:56:47" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2"
220.181.108.105 - - "2015-06-02 09:01:49" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2"
155.210.36.12 - - "2015-06-02 09:07:10" http://enginy.uib.es/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.81 Safari/537.36"
66.249.67.88 bot - "2015-06-02 09:19:34" http://enginy.uib.es/index.php/enginy/article/download/91/110 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
180.76.15.144 bot - "2015-06-02 09:19:48" http://edicions.uib.cat/ojs/index.php/crtc/article/view/302 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
188.247.146.207 - - "2015-06-02 09:31:04" http://enginy.uib.es/index.php/enginy/article/download/24/8 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
157.55.39.75 bot - "2015-06-02 09:39:14" http://enginy.uib.es/index.php/Materialidades/issue/view/40 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.67.88 bot - "2015-06-02 09:43:50" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
5.9.106.81 - - "2015-06-02 09:51:02" http://enginy.uib.es/index.php/enginy/issue/view/8 200 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/27.0.1453.94 Safari/537.36"
83.47.153.6 - - "2015-06-02 09:55:21" http://edicions.uib.cat/ojs/index.php/enginy/article/download/51/33 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:38.0) Gecko/20100101 Firefox/38.0"
66.249.67.88 bot - "2015-06-02 09:57:56" http://enginy.uib.es/index.php/enginy/article/download/48/30 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.67.101 bot - "2015-06-02 09:58:36" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
5.9.106.81 - - "2015-06-02 09:59:06" http://enginy.uib.es/index.php/enginy/article/download/56/38 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 107) AppleWebKit/534.48.3 (KHTML like Gecko) Version/5.1 Safari/534.48.3"
123.125.71.25 - - "2015-06-02 10:03:10" http://enginy.uib.es/index.php/enginy/index 200 "Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2"
66.249.67.101 bot - "2015-06-02 10:03:16" http://enginy.uib.es/index.php/enginy/article/download/73/52 200 "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
